variable,mean_abs_shap,rank
HR,0.23609726,1
Resp,0.16065961,2
O2Sat,0.12513438,3
EtCO2,0.12384881,4
Temp,0.11780317,5
FiO2,0.09917324,6
DBP,0.08493616,7
SBP,0.06981514,8
MAP,0.057423715,9
PaCO2,0.050629858,10
pH,0.042724565,11
BaseExcess,0.042275794,12
Glucose,0.032605696,13
Lactate,0.028487412,14
BUN,0.026474418,15
HCO3,0.0073473477,16
WBC,0.006732335,17
PTT,0.006181085,18
Chloride,0.0039897244,19
Alkalinephos,0.0037017814,20
Potassium,0.0034822277,21
Hgb,0.003061416,22
Hct,0.0030023847,23
Magnesium,0.0028821223,24
SaO2,0.002576275,25
Creatinine,0.0018659672,26
Calcium,0.0017789681,27
Phosphate,0.0013782853,28
Platelets,0.00112869,29
AST,0.000562253,30
Fibrinogen,0.00045650196,31
Bilirubin_total,0.00013104288,32
TroponinI,3.6881665e-05,33
Bilirubin_direct,0.0,34
