variable,shap_rank,temporal_rank,rank_difference,agreement_within_5
HR,1,6,5,True
Resp,2,10,8,False
O2Sat,3,13,10,False
EtCO2,4,31,27,False
Temp,5,2,3,True
FiO2,6,8,2,True
DBP,7,12,5,True
SBP,8,11,3,True
MAP,9,9,0,True
PaCO2,10,29,19,False
pH,11,19,8,False
BaseExcess,12,28,16,False
Glucose,13,15,2,True
Lactate,14,5,9,False
BUN,15,1,14,False
HCO3,16,7,9,False
WBC,17,3,14,False
PTT,18,26,8,False
Chloride,19,17,2,True
Alkalinephos,20,27,7,False
Potassium,21,21,0,True
Hgb,22,32,10,False
Hct,23,33,10,False
Magnesium,24,30,6,False
SaO2,25,24,1,True
Creatinine,26,14,12,False
Calcium,27,4,23,False
Phosphate,28,18,10,False
Platelets,29,22,7,False
AST,30,20,10,False
Fibrinogen,31,25,6,False
Bilirubin_total,32,16,16,False
TroponinI,33,23,10,False
Bilirubin_direct,34,34,0,True
